"sourceCode";"sourceName";"targetCode";"targetName"
"0";"Minst sentrale kommuner";"0428";"Trysil"
"0";"Minst sentrale kommuner";"0430";"Stor-Elvdal"
"0";"Minst sentrale kommuner";"0432";"Rendalen"
"0";"Minst sentrale kommuner";"0434";"Engerdal"
"0";"Minst sentrale kommuner";"0436";"Tolga"
"0";"Minst sentrale kommuner";"0437";"Tynset"
"0";"Minst sentrale kommuner";"0438";"Alvdal"
"0";"Minst sentrale kommuner";"0439";"Folldal"
"0";"Minst sentrale kommuner";"0441";"Os"
"0";"Minst sentrale kommuner";"0511";"Dovre"
"0";"Minst sentrale kommuner";"0512";"Lesja"
"0";"Minst sentrale kommuner";"0513";"Skjåk"
"0";"Minst sentrale kommuner";"0514";"Lom"
"0";"Minst sentrale kommuner";"0515";"Vågå"
"0";"Minst sentrale kommuner";"0516";"Nord-Fron"
"0";"Minst sentrale kommuner";"0517";"Sel"
"0";"Minst sentrale kommuner";"0540";"Sør-Aurdal"
"0";"Minst sentrale kommuner";"0542";"Nord-Aurdal"
"0";"Minst sentrale kommuner";"0543";"Vestre Slidre"
"0";"Minst sentrale kommuner";"0544";"Øystre Slidre"
"0";"Minst sentrale kommuner";"0545";"Vang"
"0";"Minst sentrale kommuner";"0615";"Flå"
"0";"Minst sentrale kommuner";"0616";"Nes"
"0";"Minst sentrale kommuner";"0617";"Gol"
"0";"Minst sentrale kommuner";"0618";"Hemsedal"
"0";"Minst sentrale kommuner";"0619";"Ål"
"0";"Minst sentrale kommuner";"0620";"Hol"
"0";"Minst sentrale kommuner";"0633";"Nore og Uvdal"
"0";"Minst sentrale kommuner";"0826";"Tinn"
"0";"Minst sentrale kommuner";"0828";"Seljord"
"0";"Minst sentrale kommuner";"0829";"Kviteseid"
"0";"Minst sentrale kommuner";"0830";"Nissedal"
"0";"Minst sentrale kommuner";"0831";"Fyresdal"
"0";"Minst sentrale kommuner";"0833";"Tokke"
"0";"Minst sentrale kommuner";"0834";"Vinje"
"0";"Minst sentrale kommuner";"0940";"Valle"
"0";"Minst sentrale kommuner";"0941";"Bykle"
"0";"Minst sentrale kommuner";"1133";"Hjelmeland"
"0";"Minst sentrale kommuner";"1134";"Suldal"
"0";"Minst sentrale kommuner";"1135";"Sauda"
"0";"Minst sentrale kommuner";"1151";"Utsira"
"0";"Minst sentrale kommuner";"1211";"Etne"
"0";"Minst sentrale kommuner";"1224";"Kvinnherad"
"0";"Minst sentrale kommuner";"1227";"Jondal"
"0";"Minst sentrale kommuner";"1232";"Eidfjord"
"0";"Minst sentrale kommuner";"1265";"Fedje"
"0";"Minst sentrale kommuner";"1411";"Gulen"
"0";"Minst sentrale kommuner";"1412";"Solund"
"0";"Minst sentrale kommuner";"1413";"Hyllestad"
"0";"Minst sentrale kommuner";"1416";"Høyanger"
"0";"Minst sentrale kommuner";"1417";"Vik"
"0";"Minst sentrale kommuner";"1418";"Balestrand"
"0";"Minst sentrale kommuner";"1419";"Leikanger"
"0";"Minst sentrale kommuner";"1420";"Sogndal"
"0";"Minst sentrale kommuner";"1421";"Aurland"
"0";"Minst sentrale kommuner";"1422";"Lærdal"
"0";"Minst sentrale kommuner";"1424";"Årdal"
"0";"Minst sentrale kommuner";"1426";"Luster"
"0";"Minst sentrale kommuner";"1428";"Askvoll"
"0";"Minst sentrale kommuner";"1438";"Bremanger"
"0";"Minst sentrale kommuner";"1439";"Vågsøy"
"0";"Minst sentrale kommuner";"1441";"Selje"
"0";"Minst sentrale kommuner";"1443";"Eid"
"0";"Minst sentrale kommuner";"1444";"Hornindal"
"0";"Minst sentrale kommuner";"1445";"Gloppen"
"0";"Minst sentrale kommuner";"1449";"Stryn"
"0";"Minst sentrale kommuner";"1511";"Vanylven"
"0";"Minst sentrale kommuner";"1524";"Norddal"
"0";"Minst sentrale kommuner";"1546";"Sandøy"
"0";"Minst sentrale kommuner";"1563";"Sunndal"
"0";"Minst sentrale kommuner";"1566";"Surnadal"
"0";"Minst sentrale kommuner";"1567";"Rindal"
"0";"Minst sentrale kommuner";"1571";"Halsa"
"0";"Minst sentrale kommuner";"1573";"Smøla"
